Index,Year,Toatal Sales,Satndard,Premium,S premium,YOY%,Country
1,1994,"1,535.2","1,404.8",126.8,3.5,,Total 
2,1995,"1,581.9","1,438.8",140.3,2.8,3.04%,Total 
3,1996,"1,606.7","1,461.8",136.9,8.1,1.57%,United States
4,1997,"1,701.0","1,546.9",144.8,9.3,5.86%,Ireland
5,1998,"1,839.4","1,667.1",161.5,10.8,8.14%,France
6,1999,"1,933.5","1,752.7",169.6,11.2,5.12%,South Africa
7,2000,"2,124.1","1,917.1",196.1,10.9,9.86%,Russia
8,2001,"2,262.4","2,046.5",205.4,10.5,6.51%,Germany
9,2002,"2,421.4","2,201.7",210.4,9.3,7.03%,United Kingdom
10,2003,"2,479.4","2,272.7",197.7,9.0,2.39%,Czech Republic
11,2004,"2,548.7","2,344.6",194.6,9.4,2.80%,Canada
12,2005,"2,767.5","2,545.6",211.5,10.5,8.59%,Bulgaria
13,2006,"2,850.1","2,624.3",213.3,12.5,2.98%,Australia
14,2007,"2,881.7","2,674.7",192.6,14.4,1.11%,Sweden
15,2008,"3,058.6","2,852.5",191.8,14.3,6.14%,Poland
16,2009,"3,203.1","2,996.9",189.3,16.8,4.72%,Portugal
17,2010,"3,493.6","3,268.1",208.3,17.2,9.07%,Slovakia
18,2011,"3,860.4","3,618.3",221.6,20.6,10.50%,DF Nordic Countries - (All Countries)
19,2012,"4,235.1","3,970.0",241.9,23.3,9.71%,Denmark
20,2013,"4,237.6","3,996.0",217.9,23.7,0.06%,Netherlands
21,2014,"4,735.4","4,449.6",249.4,36.4,11.75%,Latvia
22,2015,"5,447.0","5,125.6",275.3,46.1,15.03%,Greece
23,2016,"6,022.3","5,676.8",288.8,56.7,10.56%,DF Russia
24,2017,"6,622.7","6,247.6",318.0,57.1,9.97%,Ukraine
25,2018,"6,931.2","6,500.0",368.5,62.7,4.66%,DF British Isles (Inc. Ireland)
26,2019,"7,425.1","6,888.2",482.6,54.3,7.13%,DF Germany
27,2020,"8,250.8","7,536.6",651.7,62.5,11.12%,Spain
,,,,,,,
